starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 19 06:26:01 2017	1492575961	0	6	7	4
Wed Apr 19 06:25:54 2017	1492575954	1	6	7	4
Wed Apr 19 06:26:04 2017	1492575964	0	6	7	5
Wed Apr 19 06:26:00 2017	1492575960	1	6	7	5
Wed Apr 19 06:26:01 2017	1492575961	0	6	7	6
Wed Apr 19 06:26:04 2017	1492575964	1	6	7	5
Wed Apr 19 06:26:03 2017	1492575963	0	6	7	5
Wed Apr 19 06:25:57 2017	1492575957	0	6	7	5
Wed Apr 19 06:26:00 2017	1492575960	1	6	7	6
Wed Apr 19 06:26:04 2017	1492575964	1	6	7	5
Wed Apr 19 06:26:00 2017	1492575960	1	6	7	5
Wed Apr 19 06:25:53 2017	1492575953	0	6	7	5
Wed Apr 19 06:26:04 2017	1492575964	0	6	7	5
Wed Apr 19 06:26:04 2017	1492575964	0	6	7	4
Wed Apr 19 06:26:01 2017	1492575961	0	6	7	5
Wed Apr 19 06:25:58 2017	1492575958	0	6	7	6
Wed Apr 19 06:25:54 2017	1492575954	1	6	7	6
Wed Apr 19 06:25:59 2017	1492575959	0	6	7	6
Wed Apr 19 06:25:59 2017	1492575959	0	6	7	4
Wed Apr 19 06:25:57 2017	1492575957	0	6	7	5
Wed Apr 19 06:26:04 2017	1492575964	0	6	7	4
Wed Apr 19 06:26:01 2017	1492575961	1	6	7	5
Wed Apr 19 06:26:00 2017	1492575960	0	6	7	5
Wed Apr 19 06:25:57 2017	1492575957	1	6	7	5
Wed Apr 19 06:26:04 2017	1492575964	0	6	7	5
Wed Apr 19 06:25:58 2017	1492575958	1	6	7	5
Wed Apr 19 06:25:56 2017	1492575956	0	6	7	5
Wed Apr 19 06:26:00 2017	1492575960	0	6	7	5
Wed Apr 19 06:26:03 2017	1492575963	0	6	7	5
Wed Apr 19 06:25:56 2017	1492575956	0	6	7	5
Wed Apr 19 06:25:55 2017	1492575955	0	6	7	5
Wed Apr 19 06:25:59 2017	1492575959	1	6	7	3
Wed Apr 19 06:26:00 2017	1492575960	0	6	7	6
Wed Apr 19 06:25:58 2017	1492575958	1	6	7	5
Wed Apr 19 06:26:02 2017	1492575962	0	6	7	4
Wed Apr 19 06:25:58 2017	1492575958	0	6	7	4
Wed Apr 19 06:26:00 2017	1492575960	1	6	7	5
Wed Apr 19 06:26:01 2017	1492575961	0	6	7	5
Wed Apr 19 06:25:55 2017	1492575955	0	6	7	4
Wed Apr 19 06:25:55 2017	1492575955	0	6	7	5
Wed Apr 19 06:26:04 2017	1492575964	0	6	7	6
Wed Apr 19 06:26:04 2017	1492575964	0	6	7	4
Wed Apr 19 06:25:57 2017	1492575957	1	6	7	4
Wed Apr 19 06:26:02 2017	1492575962	0	6	7	5
Wed Apr 19 06:25:54 2017	1492575954	1	6	7	5
Wed Apr 19 06:25:57 2017	1492575957	1	6	7	4
Wed Apr 19 06:25:55 2017	1492575955	0	6	7	4
Wed Apr 19 06:26:04 2017	1492575964	0	6	7	5
Wed Apr 19 06:26:00 2017	1492575960	0	6	7	6
Wed Apr 19 06:26:04 2017	1492575964	1	6	7	5
Wed Apr 19 06:25:56 2017	1492575956	1	6	7	5
Wed Apr 19 06:26:00 2017	1492575960	0	6	7	5
Wed Apr 19 06:25:56 2017	1492575956	1	6	7	4
Wed Apr 19 06:25:59 2017	1492575959	0	6	7	5
Wed Apr 19 06:26:00 2017	1492575960	0	6	7	4
Wed Apr 19 06:25:58 2017	1492575958	1	6	7	5
Wed Apr 19 06:25:55 2017	1492575955	0	6	7	5
Wed Apr 19 06:26:00 2017	1492575960	0	6	7	5
Wed Apr 19 06:25:56 2017	1492575956	1	6	7	5
Wed Apr 19 06:25:56 2017	1492575956	1	6	7	5
Wed Apr 19 06:26:03 2017	1492575963	0	6	7	6
Wed Apr 19 06:25:55 2017	1492575955	0	6	7	3
Wed Apr 19 06:26:00 2017	1492575960	0	6	7	5
Wed Apr 19 06:25:54 2017	1492575954	0	6	7	5
Wed Apr 19 06:25:59 2017	1492575959	0	6	7	5
Wed Apr 19 06:26:01 2017	1492575961	0	6	7	6
Wed Apr 19 06:25:59 2017	1492575959	0	6	7	6
Wed Apr 19 06:26:01 2017	1492575961	1	6	7	5
Wed Apr 19 06:26:03 2017	1492575963	0	6	7	4
Wed Apr 19 06:25:57 2017	1492575957	0	6	7	5
Wed Apr 19 06:26:00 2017	1492575960	0	6	7	3
Wed Apr 19 06:26:02 2017	1492575962	0	6	7	4
Wed Apr 19 06:26:03 2017	1492575963	0	6	7	4
Wed Apr 19 06:25:55 2017	1492575955	0	6	7	5
Wed Apr 19 06:26:01 2017	1492575961	0	6	7	4
Wed Apr 19 06:25:59 2017	1492575959	0	6	7	5
Wed Apr 19 06:25:59 2017	1492575959	0	6	7	4
Wed Apr 19 06:25:53 2017	1492575953	0	6	7	5
Wed Apr 19 06:26:04 2017	1492575964	0	6	7	4
Wed Apr 19 06:25:54 2017	1492575954	1	6	7	5
Wed Apr 19 06:25:55 2017	1492575955	0	6	7	5
Wed Apr 19 06:25:56 2017	1492575956	1	6	7	4
Wed Apr 19 06:25:57 2017	1492575957	0	6	7	5
Wed Apr 19 06:25:57 2017	1492575957	0	6	7	4
Wed Apr 19 06:25:59 2017	1492575959	0	6	7	6
Wed Apr 19 06:25:58 2017	1492575958	0	6	7	5
Wed Apr 19 06:26:01 2017	1492575961	0	6	7	5
Wed Apr 19 06:26:04 2017	1492575964	1	6	7	5
Wed Apr 19 06:25:56 2017	1492575956	0	6	7	4
Wed Apr 19 06:25:56 2017	1492575956	0	7	7	5
Wed Apr 19 06:25:56 2017	1492575956	0	6	7	5
Wed Apr 19 06:25:54 2017	1492575954	0	6	7	4
Wed Apr 19 06:25:54 2017	1492575954	0	6	7	5
Wed Apr 19 06:25:57 2017	1492575957	1	6	7	5
Wed Apr 19 06:26:02 2017	1492575962	0	6	7	4
Wed Apr 19 06:26:02 2017	1492575962	0	6	7	6
Wed Apr 19 06:26:05 2017	1492575965	1	6	7	4
Wed Apr 19 06:26:04 2017	1492575964	1	6	7	5
Wed Apr 19 06:26:01 2017	1492575961	0	6	7	5
Wed Apr 19 06:25:54 2017	1492575954	0	6	7	4
Wed Apr 19 06:25:54 2017	1492575954	0	6	7	5
Wed Apr 19 06:26:00 2017	1492575960	0	6	7	6
Wed Apr 19 06:26:04 2017	1492575964	0	6	7	5
Wed Apr 19 06:25:56 2017	1492575956	0	7	7	5
Wed Apr 19 06:26:00 2017	1492575960	0	6	7	5
Wed Apr 19 06:26:00 2017	1492575960	0	6	7	6
Wed Apr 19 06:25:53 2017	1492575953	0	6	7	5
Wed Apr 19 06:26:02 2017	1492575962	0	6	7	5
Wed Apr 19 06:25:54 2017	1492575954	0	6	7	6
Wed Apr 19 06:25:59 2017	1492575959	0	6	7	3
Wed Apr 19 06:26:01 2017	1492575961	0	6	7	5
Wed Apr 19 06:26:01 2017	1492575961	0	6	7	5
Wed Apr 19 06:25:59 2017	1492575959	0	6	7	4
Wed Apr 19 06:26:01 2017	1492575961	0	6	7	5
Wed Apr 19 06:26:01 2017	1492575961	0	6	7	4
Wed Apr 19 06:25:57 2017	1492575957	0	6	7	5
Wed Apr 19 06:26:03 2017	1492575963	0	6	7	5
Wed Apr 19 06:26:02 2017	1492575962	0	6	7	6
Wed Apr 19 06:25:56 2017	1492575956	0	6	7	5
Wed Apr 19 06:25:58 2017	1492575958	0	6	7	5
Wed Apr 19 06:25:56 2017	1492575956	0	6	7	4
Wed Apr 19 06:26:01 2017	1492575961	0	6	7	5
Wed Apr 19 06:26:01 2017	1492575961	0	6	7	4
Wed Apr 19 06:25:57 2017	1492575957	0	6	7	5
Wed Apr 19 06:26:04 2017	1492575964	1	6	7	5
Wed Apr 19 06:26:00 2017	1492575960	0	6	7	5
Wed Apr 19 06:26:00 2017	1492575960	1	6	7	5
Wed Apr 19 06:25:59 2017	1492575959	1	6	7	4
Wed Apr 19 06:26:03 2017	1492575963	0	6	7	5
Wed Apr 19 06:25:57 2017	1492575957	0	6	7	5
Wed Apr 19 06:26:00 2017	1492575960	0	6	7	5
Wed Apr 19 06:25:56 2017	1492575956	0	6	7	4
Wed Apr 19 06:25:54 2017	1492575954	1	6	7	4
Wed Apr 19 06:26:03 2017	1492575963	0	6	7	4
Wed Apr 19 06:25:54 2017	1492575954	0	7	7	5
Wed Apr 19 06:25:58 2017	1492575958	0	6	7	5
Wed Apr 19 06:25:56 2017	1492575956	0	6	7	5
Wed Apr 19 06:25:55 2017	1492575955	0	7	7	5
Wed Apr 19 06:26:01 2017	1492575961	0	6	7	5
Wed Apr 19 06:26:01 2017	1492575961	0	6	7	4
Wed Apr 19 06:26:01 2017	1492575961	0	6	7	5
Wed Apr 19 06:26:03 2017	1492575963	0	6	7	5
Wed Apr 19 06:26:00 2017	1492575960	0	6	7	5
Wed Apr 19 06:25:57 2017	1492575957	0	6	7	4
Wed Apr 19 06:26:00 2017	1492575960	1	6	7	5
Wed Apr 19 06:26:00 2017	1492575960	1	6	7	5
Wed Apr 19 06:26:00 2017	1492575960	1	6	7	4
Wed Apr 19 06:26:03 2017	1492575963	1	6	7	5
Wed Apr 19 06:26:05 2017	1492575965	1	6	7	6
Wed Apr 19 06:26:02 2017	1492575962	0	6	7	5
Wed Apr 19 06:26:01 2017	1492575961	0	6	7	4
Wed Apr 19 06:26:01 2017	1492575961	0	7	7	5
Wed Apr 19 06:26:01 2017	1492575961	0	7	7	5
Wed Apr 19 06:26:03 2017	1492575963	0	7	7	5
Wed Apr 19 06:26:02 2017	1492575962	0	6	7	5
Wed Apr 19 06:26:01 2017	1492575961	0	6	7	5
Wed Apr 19 06:26:01 2017	1492575961	0	7	7	4
Wed Apr 19 06:25:59 2017	1492575959	0	7	7	4
Wed Apr 19 06:25:54 2017	1492575954	0	6	7	5
Wed Apr 19 06:26:04 2017	1492575964	1	6	7	6
Wed Apr 19 06:25:57 2017	1492575957	0	7	7	5
Wed Apr 19 06:26:01 2017	1492575961	0	6	7	5
Wed Apr 19 06:25:53 2017	1492575953	0	6	7	5
Wed Apr 19 06:26:00 2017	1492575960	0	6	7	5
Wed Apr 19 06:25:57 2017	1492575957	0	6	7	5
Wed Apr 19 06:26:01 2017	1492575961	0	6	7	5
Wed Apr 19 06:25:56 2017	1492575956	1	6	7	5
Wed Apr 19 06:25:53 2017	1492575953	1	6	7	3
Wed Apr 19 06:25:54 2017	1492575954	0	6	7	5
Wed Apr 19 06:26:04 2017	1492575964	0	6	7	6
Wed Apr 19 06:26:00 2017	1492575960	0	6	7	5
Wed Apr 19 06:25:57 2017	1492575957	0	6	7	5
Wed Apr 19 06:26:00 2017	1492575960	0	7	7	4
Wed Apr 19 06:26:03 2017	1492575963	0	6	7	5
Wed Apr 19 06:26:03 2017	1492575963	0	6	7	5
Wed Apr 19 06:26:02 2017	1492575962	1	6	7	4
Wed Apr 19 06:26:03 2017	1492575963	0	6	7	5
Wed Apr 19 06:25:58 2017	1492575958	0	7	7	5
Wed Apr 19 06:26:02 2017	1492575962	0	6	7	5
Wed Apr 19 06:26:00 2017	1492575960	0	6	7	5
Wed Apr 19 06:26:01 2017	1492575961	0	6	7	5
Wed Apr 19 06:26:00 2017	1492575960	1	6	7	3
Wed Apr 19 06:25:54 2017	1492575954	0	7	7	5
Wed Apr 19 06:25:58 2017	1492575958	0	7	7	6
Wed Apr 19 06:25:57 2017	1492575957	0	6	7	5
Wed Apr 19 06:26:04 2017	1492575964	1	6	7	5
Wed Apr 19 06:25:54 2017	1492575954	0	6	7	5
Wed Apr 19 06:25:57 2017	1492575957	0	6	7	6
Wed Apr 19 06:26:02 2017	1492575962	0	6	7	4
Wed Apr 19 06:25:57 2017	1492575957	0	6	7	4
Wed Apr 19 06:25:55 2017	1492575955	0	6	7	5
Wed Apr 19 06:25:57 2017	1492575957	0	6	7	5
Wed Apr 19 06:26:04 2017	1492575964	0	6	7	5
Wed Apr 19 06:26:03 2017	1492575963	0	6	7	4
Wed Apr 19 06:25:59 2017	1492575959	0	6	7	5
Wed Apr 19 06:26:01 2017	1492575961	0	7	7	4
Wed Apr 19 06:25:53 2017	1492575953	0	7	7	4
Wed Apr 19 06:26:05 2017	1492575965	0	6	7	5
Wed Apr 19 06:26:00 2017	1492575960	0	7	7	5
Wed Apr 19 06:25:55 2017	1492575955	0	7	7	5
Wed Apr 19 06:25:56 2017	1492575956	0	7	7	5
Wed Apr 19 06:25:59 2017	1492575959	0	7	7	5
Wed Apr 19 06:25:53 2017	1492575953	0	6	7	5
Wed Apr 19 06:25:57 2017	1492575957	0	7	7	6
Wed Apr 19 06:26:01 2017	1492575961	0	7	7	5
Wed Apr 19 06:26:05 2017	1492575965	1	6	7	6
Wed Apr 19 06:25:59 2017	1492575959	1	6	7	4
Wed Apr 19 06:26:00 2017	1492575960	0	7	7	5
Wed Apr 19 06:26:04 2017	1492575964	0	6	7	5
Wed Apr 19 06:26:02 2017	1492575962	1	6	7	5
Wed Apr 19 06:25:57 2017	1492575957	1	6	7	5
Wed Apr 19 06:25:56 2017	1492575956	0	7	7	5
Wed Apr 19 06:25:58 2017	1492575958	0	7	7	5
Wed Apr 19 06:25:53 2017	1492575953	1	6	7	4
Wed Apr 19 06:25:56 2017	1492575956	0	7	7	4
Wed Apr 19 06:25:53 2017	1492575953	1	6	7	5
Wed Apr 19 06:25:53 2017	1492575953	0	7	7	5
Wed Apr 19 06:26:00 2017	1492575960	1	6	7	6
Wed Apr 19 06:26:05 2017	1492575965	1	6	7	6
Wed Apr 19 06:25:57 2017	1492575957	0	6	7	5
Wed Apr 19 06:25:58 2017	1492575958	0	6	7	4
Wed Apr 19 06:25:56 2017	1492575956	1	6	7	4
Wed Apr 19 06:25:55 2017	1492575955	1	6	7	5
Wed Apr 19 06:25:57 2017	1492575957	0	7	7	5
Wed Apr 19 06:26:03 2017	1492575963	0	6	7	5
Wed Apr 19 06:26:01 2017	1492575961	1	6	7	5
Wed Apr 19 06:25:56 2017	1492575956	0	7	7	5
Wed Apr 19 06:25:59 2017	1492575959	0	6	7	5
Wed Apr 19 06:26:00 2017	1492575960	0	7	7	4
Wed Apr 19 06:25:58 2017	1492575958	0	6	7	5
Wed Apr 19 06:26:05 2017	1492575965	0	6	7	5
Wed Apr 19 06:26:05 2017	1492575965	1	6	7	6
Wed Apr 19 06:26:02 2017	1492575962	1	6	7	4
Wed Apr 19 06:26:03 2017	1492575963	0	7	7	5
Wed Apr 19 06:25:57 2017	1492575957	0	6	7	4
Wed Apr 19 06:26:00 2017	1492575960	0	6	7	5
Wed Apr 19 06:26:00 2017	1492575960	1	6	7	5
Wed Apr 19 06:25:54 2017	1492575954	1	6	7	5
Wed Apr 19 06:26:02 2017	1492575962	0	6	7	4
Wed Apr 19 06:25:57 2017	1492575957	0	7	7	3
Wed Apr 19 06:26:00 2017	1492575960	1	6	7	5
Wed Apr 19 06:25:58 2017	1492575958	0	6	7	5
Wed Apr 19 06:26:05 2017	1492575965	0	6	7	5
Wed Apr 19 06:26:02 2017	1492575962	0	7	7	4
Wed Apr 19 06:26:03 2017	1492575963	0	7	7	4
Wed Apr 19 06:25:58 2017	1492575958	0	7	7	5
Wed Apr 19 06:25:58 2017	1492575958	0	7	7	5
Wed Apr 19 06:26:02 2017	1492575962	0	7	7	5
Wed Apr 19 06:26:01 2017	1492575961	0	6	7	6
Wed Apr 19 06:25:54 2017	1492575954	0	7	7	6
Wed Apr 19 06:25:53 2017	1492575953	0	7	7	5
Wed Apr 19 06:26:02 2017	1492575962	0	6	7	5
Wed Apr 19 06:25:57 2017	1492575957	1	6	7	5
Wed Apr 19 06:26:04 2017	1492575964	0	7	7	6
Wed Apr 19 06:25:57 2017	1492575957	0	7	7	4
Wed Apr 19 06:25:55 2017	1492575955	0	7	7	5
Wed Apr 19 06:26:03 2017	1492575963	1	6	7	5
Wed Apr 19 06:25:54 2017	1492575954	0	7	7	5
Wed Apr 19 06:25:59 2017	1492575959	0	7	7	4
Wed Apr 19 06:26:00 2017	1492575960	1	6	7	4
Wed Apr 19 06:25:58 2017	1492575958	1	6	7	4
Wed Apr 19 06:26:01 2017	1492575961	1	6	7	5
Wed Apr 19 06:26:05 2017	1492575965	0	7	7	5
Wed Apr 19 06:26:00 2017	1492575960	0	6	7	4
Wed Apr 19 06:26:00 2017	1492575960	0	6	7	5
Wed Apr 19 06:25:57 2017	1492575957	0	7	7	6
Wed Apr 19 06:25:53 2017	1492575953	0	7	7	4
Wed Apr 19 06:25:55 2017	1492575955	0	7	7	5
Wed Apr 19 06:25:53 2017	1492575953	0	7	7	6
Wed Apr 19 06:25:59 2017	1492575959	0	7	7	6
Wed Apr 19 06:25:54 2017	1492575954	0	7	7	5
Wed Apr 19 06:25:53 2017	1492575953	0	7	7	5
Wed Apr 19 06:25:54 2017	1492575954	0	7	7	4
Wed Apr 19 06:26:02 2017	1492575962	0	7	7	5
Wed Apr 19 06:26:04 2017	1492575964	0	7	7	5
Wed Apr 19 06:26:01 2017	1492575961	0	7	7	5
Wed Apr 19 06:25:54 2017	1492575954	1	6	7	5
Wed Apr 19 06:25:56 2017	1492575956	0	7	7	5
Wed Apr 19 06:25:59 2017	1492575959	0	7	7	6
Wed Apr 19 06:26:01 2017	1492575961	0	7	7	5
Wed Apr 19 06:25:56 2017	1492575956	0	6	7	5
Wed Apr 19 06:25:53 2017	1492575953	0	6	7	5
Wed Apr 19 06:25:55 2017	1492575955	0	7	7	5
Wed Apr 19 06:26:01 2017	1492575961	0	7	7	5
Wed Apr 19 06:26:04 2017	1492575964	0	7	7	5
Wed Apr 19 06:26:01 2017	1492575961	0	6	7	4
Wed Apr 19 06:25:56 2017	1492575956	0	6	7	5
Wed Apr 19 06:26:04 2017	1492575964	0	6	7	5
Wed Apr 19 06:26:00 2017	1492575960	1	6	7	5
Wed Apr 19 06:25:57 2017	1492575957	0	7	7	5
Wed Apr 19 06:25:54 2017	1492575954	0	7	7	5
Wed Apr 19 06:25:57 2017	1492575957	0	7	7	5
Wed Apr 19 06:26:01 2017	1492575961	0	7	7	5
Wed Apr 19 06:25:59 2017	1492575959	1	6	7	5
Wed Apr 19 06:25:53 2017	1492575953	1	6	7	5
Wed Apr 19 06:25:55 2017	1492575955	0	7	7	5
Wed Apr 19 06:26:03 2017	1492575963	1	6	7	4
Wed Apr 19 06:25:54 2017	1492575954	0	7	7	5
Wed Apr 19 06:26:04 2017	1492575964	1	6	7	5
Wed Apr 19 06:25:56 2017	1492575956	0	7	7	3
Wed Apr 19 06:26:01 2017	1492575961	0	7	7	4
Wed Apr 19 06:25:55 2017	1492575955	1	6	7	5
Wed Apr 19 06:26:02 2017	1492575962	1	6	7	5
Wed Apr 19 06:25:53 2017	1492575953	1	6	7	6
Wed Apr 19 06:25:57 2017	1492575957	0	7	7	6
Wed Apr 19 06:25:57 2017	1492575957	0	7	7	5
Wed Apr 19 06:25:59 2017	1492575959	0	7	7	5
Wed Apr 19 06:25:56 2017	1492575956	0	7	7	4
Wed Apr 19 06:25:55 2017	1492575955	0	7	7	4
Wed Apr 19 06:25:54 2017	1492575954	1	6	7	5
Wed Apr 19 06:26:05 2017	1492575965	1	6	7	5
Wed Apr 19 06:26:00 2017	1492575960	0	7	7	4
Wed Apr 19 06:25:54 2017	1492575954	0	7	7	5
Wed Apr 19 06:25:58 2017	1492575958	0	7	7	5
Wed Apr 19 06:25:56 2017	1492575956	0	7	7	5
Wed Apr 19 06:25:59 2017	1492575959	0	7	7	4
Wed Apr 19 06:26:03 2017	1492575963	0	7	7	5
Wed Apr 19 06:25:56 2017	1492575956	1	6	7	5
Wed Apr 19 06:26:02 2017	1492575962	0	7	7	6
Wed Apr 19 06:25:59 2017	1492575959	0	7	7	5
Wed Apr 19 06:26:01 2017	1492575961	0	7	7	5
Wed Apr 19 06:26:03 2017	1492575963	0	7	7	5
Wed Apr 19 06:26:04 2017	1492575964	1	6	7	5
Wed Apr 19 06:26:02 2017	1492575962	1	6	7	4
Wed Apr 19 06:26:01 2017	1492575961	0	7	7	5
Wed Apr 19 06:26:04 2017	1492575964	1	6	7	5
Wed Apr 19 06:25:59 2017	1492575959	0	7	7	5
Wed Apr 19 06:25:59 2017	1492575959	0	7	7	5
Wed Apr 19 06:26:03 2017	1492575963	0	7	7	5
Wed Apr 19 06:26:03 2017	1492575963	0	7	7	5
Wed Apr 19 06:25:57 2017	1492575957	0	7	7	4
Wed Apr 19 06:26:00 2017	1492575960	0	7	7	5
Wed Apr 19 06:25:56 2017	1492575956	0	7	7	6
Wed Apr 19 06:25:57 2017	1492575957	0	7	7	5
Wed Apr 19 06:26:03 2017	1492575963	0	7	7	5
Wed Apr 19 06:26:03 2017	1492575963	0	7	7	4
Wed Apr 19 06:25:55 2017	1492575955	1	6	7	4
Wed Apr 19 06:26:04 2017	1492575964	0	7	7	5
Wed Apr 19 06:25:56 2017	1492575956	0	7	7	5
Wed Apr 19 06:25:57 2017	1492575957	1	7	7	6
Wed Apr 19 06:26:03 2017	1492575963	0	7	7	5
Wed Apr 19 06:26:01 2017	1492575961	0	7	7	6
Wed Apr 19 06:25:58 2017	1492575958	0	7	7	5
Wed Apr 19 06:25:55 2017	1492575955	0	7	7	4
Wed Apr 19 06:26:01 2017	1492575961	0	7	7	5
Wed Apr 19 06:25:58 2017	1492575958	1	7	7	3
Wed Apr 19 06:26:02 2017	1492575962	0	7	7	5
Wed Apr 19 06:26:03 2017	1492575963	0	7	7	5
Wed Apr 19 06:25:55 2017	1492575955	0	7	7	4
Wed Apr 19 06:25:53 2017	1492575953	0	7	7	5
Wed Apr 19 06:25:56 2017	1492575956	0	7	7	4
Wed Apr 19 06:26:03 2017	1492575963	0	7	7	6
Wed Apr 19 06:26:02 2017	1492575962	0	7	7	5
Wed Apr 19 06:25:55 2017	1492575955	0	7	7	5
Wed Apr 19 06:26:02 2017	1492575962	0	7	7	5
Wed Apr 19 06:25:58 2017	1492575958	0	7	7	5
Wed Apr 19 06:26:03 2017	1492575963	0	7	7	5
Wed Apr 19 06:25:56 2017	1492575956	0	7	7	5
Wed Apr 19 06:26:05 2017	1492575965	1	6	7	4
Wed Apr 19 06:25:58 2017	1492575958	0	7	7	5
Wed Apr 19 06:26:02 2017	1492575962	1	7	7	4
Wed Apr 19 06:25:59 2017	1492575959	0	7	7	5
Wed Apr 19 06:25:53 2017	1492575953	0	7	7	5
Wed Apr 19 06:26:04 2017	1492575964	1	7	7	4
Wed Apr 19 06:26:03 2017	1492575963	0	7	7	5
Wed Apr 19 06:26:00 2017	1492575960	1	6	7	6
Wed Apr 19 06:26:02 2017	1492575962	0	7	7	6
Wed Apr 19 06:25:58 2017	1492575958	1	7	7	6
Wed Apr 19 06:25:57 2017	1492575957	0	7	7	5
Wed Apr 19 06:25:58 2017	1492575958	0	7	7	5
Wed Apr 19 06:26:04 2017	1492575964	0	7	7	6
Wed Apr 19 06:26:00 2017	1492575960	0	7	7	5
Wed Apr 19 06:25:55 2017	1492575955	0	7	7	5
Wed Apr 19 06:25:53 2017	1492575953	1	6	7	3
Wed Apr 19 06:26:04 2017	1492575964	1	7	7	4
Wed Apr 19 06:25:58 2017	1492575958	0	7	7	5
Wed Apr 19 06:26:04 2017	1492575964	0	7	7	5
Wed Apr 19 06:25:57 2017	1492575957	1	7	7	4
Wed Apr 19 06:26:02 2017	1492575962	0	7	7	4
Wed Apr 19 06:25:58 2017	1492575958	0	7	7	5
Wed Apr 19 06:26:03 2017	1492575963	0	7	7	5
Wed Apr 19 06:26:02 2017	1492575962	0	7	7	5
Wed Apr 19 06:25:56 2017	1492575956	0	7	7	5
Wed Apr 19 06:26:01 2017	1492575961	0	7	7	4
Wed Apr 19 06:26:05 2017	1492575965	0	7	7	6
Wed Apr 19 06:25:54 2017	1492575954	0	7	7	4
Wed Apr 19 06:26:04 2017	1492575964	1	6	7	6
Wed Apr 19 06:25:55 2017	1492575955	0	7	7	6
Wed Apr 19 06:25:54 2017	1492575954	0	7	7	5
Wed Apr 19 06:26:03 2017	1492575963	0	7	7	5
Wed Apr 19 06:25:56 2017	1492575956	0	7	7	5
Wed Apr 19 06:25:59 2017	1492575959	0	7	7	5
Wed Apr 19 06:26:04 2017	1492575964	0	7	7	6
Wed Apr 19 06:26:01 2017	1492575961	0	7	7	5
Wed Apr 19 06:25:57 2017	1492575957	0	7	7	5
Wed Apr 19 06:25:54 2017	1492575954	0	7	7	4
Wed Apr 19 06:25:55 2017	1492575955	0	7	7	5
Wed Apr 19 06:25:55 2017	1492575955	0	7	7	4
Wed Apr 19 06:25:54 2017	1492575954	0	7	7	5
Wed Apr 19 06:25:55 2017	1492575955	0	7	7	3
Wed Apr 19 06:25:57 2017	1492575957	0	7	7	5
Wed Apr 19 06:25:53 2017	1492575953	1	7	7	4
Wed Apr 19 06:25:59 2017	1492575959	0	7	7	4
Wed Apr 19 06:25:57 2017	1492575957	0	7	7	4
Wed Apr 19 06:25:59 2017	1492575959	0	7	7	4
Wed Apr 19 06:25:57 2017	1492575957	0	7	7	5
Wed Apr 19 06:25:57 2017	1492575957	0	7	7	6
Wed Apr 19 06:25:55 2017	1492575955	0	7	7	5
Wed Apr 19 06:25:59 2017	1492575959	0	7	7	6
Wed Apr 19 06:25:54 2017	1492575954	0	7	7	5
Wed Apr 19 06:26:02 2017	1492575962	0	7	7	5
Wed Apr 19 06:25:57 2017	1492575957	0	7	7	5
Wed Apr 19 06:26:01 2017	1492575961	0	7	7	5
Wed Apr 19 06:26:00 2017	1492575960	0	7	7	5
Wed Apr 19 06:25:58 2017	1492575958	1	7	7	4
Wed Apr 19 06:25:55 2017	1492575955	0	7	7	6
Wed Apr 19 06:25:57 2017	1492575957	1	7	7	4
Wed Apr 19 06:26:01 2017	1492575961	0	7	7	5
Wed Apr 19 06:26:03 2017	1492575963	0	7	7	5
Wed Apr 19 06:26:02 2017	1492575962	0	7	7	5
Wed Apr 19 06:25:59 2017	1492575959	0	7	7	5
Wed Apr 19 06:26:02 2017	1492575962	0	7	7	5
Wed Apr 19 06:25:58 2017	1492575958	0	7	7	5
Wed Apr 19 06:26:01 2017	1492575961	0	7	7	5
Wed Apr 19 06:26:05 2017	1492575965	0	7	7	5
Wed Apr 19 06:26:02 2017	1492575962	0	7	7	4
Wed Apr 19 06:26:00 2017	1492575960	0	7	7	5
Wed Apr 19 06:25:53 2017	1492575953	1	7	7	5
Wed Apr 19 06:25:59 2017	1492575959	1	7	7	4
Wed Apr 19 06:26:01 2017	1492575961	0	7	7	4
Wed Apr 19 06:26:00 2017	1492575960	1	7	7	5
Wed Apr 19 06:26:02 2017	1492575962	1	7	7	4
Wed Apr 19 06:26:05 2017	1492575965	1	7	7	5
Wed Apr 19 06:26:00 2017	1492575960	1	7	7	5
Wed Apr 19 06:25:58 2017	1492575958	1	7	7	6
Wed Apr 19 06:25:58 2017	1492575958	1	7	7	4
Wed Apr 19 06:26:03 2017	1492575963	0	7	7	4
Wed Apr 19 06:25:53 2017	1492575953	0	7	7	5
Wed Apr 19 06:26:04 2017	1492575964	1	7	7	5
Wed Apr 19 06:26:03 2017	1492575963	0	7	7	5
Wed Apr 19 06:26:00 2017	1492575960	0	7	7	5
Wed Apr 19 06:26:00 2017	1492575960	0	7	7	5
Wed Apr 19 06:26:01 2017	1492575961	0	7	7	5
Wed Apr 19 06:25:55 2017	1492575955	0	7	7	5
Wed Apr 19 06:26:05 2017	1492575965	0	7	7	6
Wed Apr 19 06:25:54 2017	1492575954	0	7	7	5
Wed Apr 19 06:26:04 2017	1492575964	0	7	7	6
Wed Apr 19 06:25:53 2017	1492575953	1	7	7	5
Wed Apr 19 06:25:53 2017	1492575953	1	7	7	4
Wed Apr 19 06:25:54 2017	1492575954	0	7	7	4
